photo,title,city,state,country,latitude,longitude
geotagged/GOPR1210.JPG,2,<a href=geotagged/GOPR1210.JPG target=_blank><img src =geotagged/thumb/GOPR1210.JPG width=200></a><br>44.771-11.9318,Cycloscope Project,5,44.771,11.9318
geotagged/GOPR1220.JPG,2,<a href=geotagged/GOPR1220.JPG target=_blank><img src =geotagged/thumb/GOPR1220.JPG width=200></a><br>44.7901-11.9667,Cycloscope Project,5,44.7901,11.9667
geotagged/GOPR1230.JPG,2,<a href=geotagged/GOPR1230.JPG target=_blank><img src =geotagged/thumb/GOPR1230.JPG width=200></a><br>44.8133-11.9992,Cycloscope Project,5,44.8133,11.9992
geotagged/GOPR1240.JPG,2,<a href=geotagged/GOPR1240.JPG target=_blank><img src =geotagged/thumb/GOPR1240.JPG width=200></a><br>44.8158-12.0301,Cycloscope Project,5,44.8158,12.0301
geotagged/GOPR1250.JPG,2,<a href=geotagged/GOPR1250.JPG target=_blank><img src =geotagged/thumb/GOPR1250.JPG width=200></a><br>44.8355-12.0607,Cycloscope Project,5,44.8355,12.0607
geotagged/GOPR1260.JPG,2,<a href=geotagged/GOPR1260.JPG target=_blank><img src =geotagged/thumb/GOPR1260.JPG width=200></a><br>44.8325-12.1014,Cycloscope Project,5,44.8325,12.1014
geotagged/GOPR1270.JPG,2,<a href=geotagged/GOPR1270.JPG target=_blank><img src =geotagged/thumb/GOPR1270.JPG width=200></a><br>44.8358-12.137,Cycloscope Project,5,44.8358,12.137
geotagged/GOPR1280.JPG,2,<a href=geotagged/GOPR1280.JPG target=_blank><img src =geotagged/thumb/GOPR1280.JPG width=200></a><br>44.8588-12.1478,Cycloscope Project,5,44.8588,12.1478
geotagged/GOPR1290.JPG,2,<a href=geotagged/GOPR1290.JPG target=_blank><img src =geotagged/thumb/GOPR1290.JPG width=200></a><br>44.8796-12.1553,Cycloscope Project,5,44.8796,12.1553
geotagged/GOPR1300.JPG,2,<a href=geotagged/GOPR1300.JPG target=_blank><img src =geotagged/thumb/GOPR1300.JPG width=200></a><br>44.8853-12.1759,Cycloscope Project,5,44.8853,12.1759
geotagged/GOPR1310.JPG,2,<a href=geotagged/GOPR1310.JPG target=_blank><img src =geotagged/thumb/GOPR1310.JPG width=200></a><br>44.8862-12.2119,Cycloscope Project,5,44.8862,12.2119
geotagged/GOPR1320.JPG,2,<a href=geotagged/GOPR1320.JPG target=_blank><img src =geotagged/thumb/GOPR1320.JPG width=200></a><br>44.8826-12.2183,Cycloscope Project,5,44.8826,12.2183
geotagged/GOPR1330.JPG,2,<a href=geotagged/GOPR1330.JPG target=_blank><img src =geotagged/thumb/GOPR1330.JPG width=200></a><br>44.8955-12.2268,Cycloscope Project,5,44.8955,12.2268
geotagged/GOPR1340.JPG,2,<a href=geotagged/GOPR1340.JPG target=_blank><img src =geotagged/thumb/GOPR1340.JPG width=200></a><br>44.921-12.23,Cycloscope Project,5,44.921,12.23
geotagged/GOPR1350.JPG,2,<a href=geotagged/GOPR1350.JPG target=_blank><img src =geotagged/thumb/GOPR1350.JPG width=200></a><br>44.9355-12.228,Cycloscope Project,5,44.9355,12.228
geotagged/GOPR1360.JPG,2,<a href=geotagged/GOPR1360.JPG target=_blank><img src =geotagged/thumb/GOPR1360.JPG width=200></a><br>44.9687-12.2233,Cycloscope Project,5,44.9687,12.2233
geotagged/GOPR1370.JPG,2,<a href=geotagged/GOPR1370.JPG target=_blank><img src =geotagged/thumb/GOPR1370.JPG width=200></a><br>45.0025-12.2247,Cycloscope Project,5,45.0025,12.2247
geotagged/GOPR1380.JPG,2,<a href=geotagged/GOPR1380.JPG target=_blank><img src =geotagged/thumb/GOPR1380.JPG width=200></a><br>45.0182-12.2293,Cycloscope Project,5,45.0182,12.2293
geotagged/GOPR1390.JPG,2,<a href=geotagged/GOPR1390.JPG target=_blank><img src =geotagged/thumb/GOPR1390.JPG width=200></a><br>45.0451-12.2443,Cycloscope Project,5,45.0451,12.2443
geotagged/GOPR1400.JPG,2,<a href=geotagged/GOPR1400.JPG target=_blank><img src =geotagged/thumb/GOPR1400.JPG width=200></a><br>45.0662-12.2594,Cycloscope Project,5,45.0662,12.2594
geotagged/GOPR1410.JPG,2,<a href=geotagged/GOPR1410.JPG target=_blank><img src =geotagged/thumb/GOPR1410.JPG width=200></a><br>45.0716-12.2988,Cycloscope Project,5,45.0716,12.2988
